Forecast date,ID_1,ID_2,ID_4,ID_5,ID_7,ID_15,ID_16,ID_20,ID_24,ID_26,ID_29,ID_31,ID_36,ID_37,ID_39,ID_42,ID_48,ID_52,ID_54,ID_85,ID_89,ID_94,ID_95,Actual,Date of forecast
2012.250000,0.718262,2.000000,0.200000,1.200000,0.900000,0.900000,0.600000,1.000000,0.000000,0.200000,0.800000,1.200000,0.900000,0.500000,0.500000,0.300000,0.800000,0.500000,0.500000,0.800000,1.000000,0.300000,0.858000,-0.800000,2011.750000
2012.500000,0.900000,1.200000,-0.300000,-0.800000,-1.000000,0.300000,1.100000,0.300000,-0.070000,-0.006636,1.200000,0.800000,1.400000,-0.100000,-0.100000,0.028325,-0.200000,0.600000,0.400000,-0.710000,-0.500000,-0.700000,-0.002170,-1.000000,2012.000000
2012.750000,1.700000,1.000000,-0.300000,-0.107031,0.000000,0.300000,1.100000,0.100000,0.100000,0.400000,0.200000,0.100000,0.662125,0.200000,-0.500000,0.200000,0.102739,0.500000,0.100000,-0.040000,0.100000,-0.700000,0.131167,-1.100000,2012.250000
2013.000000,0.652215,0.407484,-0.047017,0.020448,-0.200000,0.200000,0.000000,-0.100000,0.100000,0.250000,1.000000,0.092829,1.600000,0.200000,-0.200000,0.127791,0.100000,-0.200000,0.100000,-0.148657,-0.400000,-0.100000,0.176500,-1.200000,2012.500000
2013.250000,0.334075,1.100000,0.100000,0.800000,-0.200000,0.200000,0.000000,0.700000,0.300000,0.700000,0.000000,0.500000,0.665436,0.100000,-0.500000,-0.200000,-0.200000,0.200000,0.141012,-0.001706,0.000000,-0.400000,-0.099250,-0.400000,2012.750000
2013.500000,0.139013,0.800000,0.600000,0.301908,-0.300000,0.100000,0.000000,-0.200000,-0.200000,0.400000,0.022214,1.000000,0.900000,-0.500000,-0.300000,-0.300000,-0.300000,0.300000,0.071515,0.347184,0.200000,-0.700000,-0.395806,0.100000,2013.000000
2013.750000,0.800000,0.800000,0.500000,0.469216,0.500000,0.200000,0.800000,0.400000,0.124412,0.500000,-0.300000,0.700000,0.678319,0.300000,0.200000,0.258779,0.300000,0.300000,0.400000,0.700000,0.500000,-0.300000,0.383000,0.800000,2013.250000
2014.000000,0.647550,0.647550,0.300000,0.531902,0.300000,0.500000,0.400000,0.507704,0.600000,0.900000,0.000000,0.612588,0.500000,0.700000,0.437780,0.458330,0.472742,0.300000,0.600000,0.939629,0.800000,0.300000,0.425425,1.500000,2013.500000
2014.250000,0.600000,1.100000,0.900000,1.400000,0.874955,1.000000,1.300000,1.100000,1.064269,0.800000,0.700000,1.200000,0.944878,0.900000,0.900000,0.930310,1.000000,1.100000,0.400000,1.010334,0.900000,0.600000,0.953286,1.200000,2013.750000
2014.500000,1.800000,1.240654,1.100000,1.000000,1.161974,1.600000,1.400000,1.300000,1.112576,1.100000,1.100807,1.200000,1.186421,1.000000,1.000000,1.000000,1.100000,1.100000,0.995922,1.183290,1.074246,1.000000,1.295000,1.300000,2014.000000
2014.750000,1.600000,1.100000,1.300000,1.100000,1.289086,1.600000,2.000000,1.500000,1.300000,1.200000,1.267701,0.500000,1.297633,1.000000,1.400000,1.232458,1.400000,1.600000,1.231032,1.365735,1.200000,1.000000,1.195000,1.500000,2014.250000
2015.000000,1.480301,1.305493,1.500000,1.305493,1.660228,1.600000,1.500000,1.200000,1.382066,1.200000,1.200000,1.095723,1.300000,1.000000,1.200000,1.351802,1.600000,1.700000,1.351304,1.396812,1.400000,1.000000,1.530000,1.800000,2014.500000
2015.250000,1.100000,1.200000,1.083536,1.015533,0.400000,1.400000,1.600000,1.000000,1.307839,0.400000,0.800000,1.200000,0.800000,0.600000,1.000000,1.031724,1.300000,0.800000,1.300000,1.141618,1.400000,0.900000,1.144797,2.000000,2014.750000
2015.500000,1.300000,1.200000,1.000000,1.100000,1.270000,1.200000,0.800000,1.000000,1.052447,0.953868,1.000000,1.300000,1.300000,1.100000,1.200000,1.000000,1.500000,1.300000,1.300000,1.434545,1.500000,0.900000,1.148500,2.000000,2015.000000
2015.750000,1.600000,1.800000,1.500000,1.400000,0.650000,1.300000,1.600000,1.500000,1.631223,1.100000,1.519947,1.600000,1.300000,1.500000,1.900000,1.700000,1.694755,2.300000,1.400000,2.132517,1.800000,1.700000,1.808500,2.000000,2015.250000
2016.000000,1.732297,1.802221,1.500000,1.662374,1.400162,1.600000,1.600000,1.600000,1.655081,1.557489,1.300000,1.600000,1.627412,1.600000,1.800000,1.700000,2.000000,2.200000,1.600000,2.163558,1.900000,1.700000,1.823500,1.700000,2015.500000
2016.250000,1.500000,2.000000,1.600000,1.622927,1.531254,1.600000,1.600000,1.800000,1.558000,1.586258,1.300000,1.700000,1.300000,1.300000,1.700000,1.800000,1.800000,1.500000,1.700000,1.852000,1.770000,1.700000,1.823500,1.700000,2015.750000
2016.500000,1.800000,1.800000,1.684285,1.600000,1.660250,1.600000,1.800000,1.800000,1.650000,1.500000,1.400000,1.700000,1.579400,1.600000,1.700000,1.754208,1.800000,1.600000,1.900000,1.927000,1.900000,1.400000,1.824500,1.700000,2016.000000
2016.750000,1.677481,1.677481,1.400000,1.600000,2.000000,1.600000,1.700000,1.800000,1.617000,1.600000,1.400000,1.700000,1.600356,1.700000,1.700000,1.661471,2.000000,1.400000,1.500000,1.685090,1.808300,1.448500,1.549500,1.900000,2016.250000
